day,irr
21.735112936344976, 7.872570194384451
23.234086242299796, 8.93088552915767
24.733059548254616, 5.83153347732182
26.981519507186874, 8.326133909287257
27.731006160164284, 10.06479481641469
29.979466119096514, 14.524838012958966
29.979466119096514, 8.85529157667387
32.97741273100617, 13.844492440604753
29.979466119096514, 7.645788336933045
33.72689938398358, 10.971922246220302
32.22792607802876, 5.982721382289419
32.22792607802876, 5.529157667386606
38.22381930184804, 5
36.72484599589322, 7.041036717062639
41.22176591375771, 6.889848812095032
41.97125256673512, 5.226781857451407
44.21971252566735, 6.587473002159825
43.47022587268994, 4.470842332613394
47.217659137577, 5.982721382289419
47.217659137577, 4.395248380129594
47.96714579055441, 3.5637149028077744
49.46611909650923, 3.0345572354211683
53.213552361396324, 4.017278617710581
55.46201232032854, 5.3023758099352065
55.46201232032854, 3.336933045356375
56.96098562628336, 2.2030237580993486
59.209445585215605, 2.4298056155507624
60.708418891170425, 2.127429805615556
65.20533880903491, 2.505399568034562
66.70431211498973, 4.017278617710581
66.70431211498973, 1.7494600431965495
70.4517453798768, 2.8077753779697687
74.19917864476386, 1.976241900647949
74.19917864476386, 1.371490280777543
78.69609856262835, 0.8423326133909299
83.94250513347023, 0.8423326133909299
80.94455852156057, 1.371490280777543
86.19096509240248, 2.051835853131756
89.93839835728954, 0.9179265658747298
96.68377823408625, 0.6155507559395232
104.9281314168378, 0.3887688984881237
110.92402464065708, 0.6911447084233302
112.4229979466119, 0.46436285097191643
120.66735112936345, 0.3887688984881237
127.41273100616016, 0.5399568034557234
131.90965092402467, 0.3887688984881237
138.65503080082138, 0.08639308855292427
145.40041067761808, 0.6155507559395232
150.64681724845997, 0.5399568034557234
155.89322381930182, 0.46436285097191643
162.63860369609858, 0.76673866090713
171.6324435318275, 0.6911447084233302
177.6283367556468, 1.0691144708423366
176.12936344969202, 1.7494600431965495
184.37371663244355, 1.1447084233261293
185.8726899383984, 1.7494600431965495
188.12114989733064, 2.3542116630669554
188.12114989733064, 3.185745140388775
189.62012320328543, 4.168466522678187
192.61806981519507, 4.168466522678187
195.6160164271047, 3.261339092872575
198.61396303901435, 2.051835853131756
196.36550308008216, 5
203.11088295687884, 2.580993520518355
206.10882956878848, 3.261339092872575
206.85831622176593, 4.9244060475162
211.35523613963042, 3.4125269978401747
211.35523613963042, 4.0928725701943875
215.10266940451746, 5
212.8542094455852, 6.058315334773219
218.8501026694045, 4.0928725701943875
218.8501026694045, 6.663066954643632
221.8480492813142, 8.401727861771064
223.34702258726898, 4.8488120950324
224.84599589322383, 6.814254859611232
229.34291581108826, 5.982721382289419
230.0924024640657, 5.151187904967607
229.34291581108826, 10.896328293736502
230.8418891170431, 9.460043196544277
236.088295687885, 5.83153347732182
241.33470225872688, 4.9244060475162
239.0862422997947, 7.1166306695464385
244.33264887063652, 5.151187904967607
242.83367556468173, 9.989200863930883
248.0800821355236, 3.714902807775381
247.33059548254622, 6.965442764578832
253.3264887063655, 5.680345572354213
253.3264887063655, 8.85529157667387
253.0812862828606, 8.309685225181987
259.58724681217836, 6.5233697970829
262.47878482520855, 7.544121470282377
262.47878482520855, 6.377548129482975
264.6474383349811, 5.8671722928832395
267.90041859964003, 6.414003546382958
268.2618608512688, 8.309685225181987
269.7076298577839, 10.53346565608085
273.6834946257003, 6.5233697970829
274.40637912895784, 8.892971895581688
275.85214813547293, 18.699479041676668
276.5750326387305, 12.793701503879689
279.8280129033893, 12.028137748980079
280.55089740664687, 7.835764805482228
283.0809931680483, 10.715742740580751
284.5267621745634, 9.403347732181423
283.0809931680483, 13.267621923579444
285.6110889294497, 11.554217329280327
287.7797424392222, 15.126848185478497
290.6712804522524, 17.241262365677414
291.0327227038812, 18.881756126176573
291.7556072071387, 21.360724475375303
292.1170494587675, 24.459434911873718
292.47849171039627, 29.344460776471216
291.0327227038812, 32.55253746366957
295.37002972342634, 29.781925779270992
293.2013762136538, 37.69275124656694
295.37002972342634, 30.474578700370635
296.45435647831266, 37.7656620803669
298.9844522397141, 36.52617790576754
297.90012548482775, 30.401667866570676
301.87599025274415, 37.10946457616724
301.5145480011155, 29.854836613070955
305.4904127690319, 36.380356238167614
306.5747395239182, 24.094880742873904
306.93618177554697, 34.557585393168544
307.6590662788045, 31.057865370770337
310.18916204020593, 37.36465249446711
314.1650268081223, 29.41737161027118
313.4421423048648, 35.97934665226782
313.80358455649355, 39.807165426765856
315.9722380662662, 35.68770331706797
318.86377607929626, 39.29678959016612
318.1408915760388, 14.47065068127883
321.39387184069767, 13.34053275737941
325.73117886024284, 14.90811568407861
327.8998323700155, 16.803797362877635
329.70704362815934, 17.67872736847719
330.0684858797881, 35.72415873396795
331.15281263467443, 23.00121823587446
329.70704362815934, 18.26201403887689
332.9600238928182, 23.110584486574407
333.3214661444471, 18.26201403887689
332.5985816411895, 15.60076860517825
332.9600238928182, 13.632176092579261
335.4901196542196, 38.020849998666776
334.0443506477045, 26.500938258272672
339.465984422136, 29.526737860971124
336.5744464091059, 17.824549036077112
338.38165766724967, 13.085344839079543
341.6346379319086, 11.84586066448017
342.71896468679495, 13.923819427779112
343.4418491900525, 14.944571100978589
342.3575224351662, 20.194151134575904
347.77915620959766, 21.980466562674984
348.863482964484, 14.215462762978962
351.0321364742566, 19.6108644641762
352.4779054807717, 17.387084033277336
351.3935787258854, 20.7774378049756
353.56223223565803, 30.25584619897075
355.73088574543056, 17.824549036077112
360.4296350166046, 23.438683238674237
358.62242375846074, 10.788653574380717
361.8754040231196, 17.022529864277523
363.68261528126345, 11.554217329280327
364.76694203614977, 16.111144441777988
364.405499784521, 11.153207743380534
369.8271335589525, 16.621520278377726
367.2970377975512, 10.970930658880626
375.9716518366416, 16.949619030477564
372.71867157198267, 9.257526064581498
372.71867157198267, 11.918771498280137
378.50174759804304, 12.465602751779862
379.2246321013005, 9.36689231528144
383.56193912084575, 11.335484827880435
382.8390546175882, 8.273229808282004
385.7305926306183, 8.783605644881739
384.2848236241033, 7.580576887182353
390.7907841534211, 12.392691917979896
388.98357289527723, 6.414003546382958
393.3208799148225, 6.231726461883049
396.57386017948136, 9.549169399781348
398.3810714376252, 5.575528957683389
392.2365531599362, 7.434755219582435
320.7802874743327, 29.49244060475162
318.53182751540044, 22.235421166306697